TARIH,ISLEM  KODU,KAPANIS FIYATI
2017-09-25,KCHOL.E,16.37
2017-09-15,KCHOL.E,17.45
2017-09-07,KOZAA.E,7.84
2017-09-19,KOZAA.E,7.14
2017-09-29,KOZAA.E,7.06
2017-09-13,KOZAA.E,7.44
2017-09-28,KOZAA.E,6.89
2017-09-25,KOZAA.E,6.68
2017-09-22,KOZAA.E,6.76
2017-09-21,KOZAA.E,7
2017-09-08,KOZAA.E,7.56
2017-09-26,KOZAA.E,6.88
2017-09-14,KOZAA.E,7.67
2017-09-06,KOZAA.E,7.54
2017-09-15,KOZAA.E,7.48
2017-09-20,KOZAA.E,7.27
2017-09-18,KOZAA.E,7.29
2017-09-05,KOZAA.E,7.29
2017-09-27,KOZAA.E,6.72
2017-09-11,KOZAA.E,7.7
2017-09-12,KOZAA.E,7.55
2017-09-20,KOZAL.E,30.96
2017-09-13,KOZAL.E,31.7
2017-09-08,KOZAL.E,32.92
2017-09-26,KOZAL.E,29.8
2017-09-21,KOZAL.E,30.08
2017-09-22,KOZAL.E,29.38
2017-09-18,KOZAL.E,30.32
2017-09-05,KOZAL.E,33.06
2017-09-25,KOZAL.E,28.4
2017-09-06,KOZAL.E,33.14
2017-09-27,KOZAL.E,28.92
2017-09-29,KOZAL.E,31.2
2017-09-28,KOZAL.E,30.9
2017-09-11,KOZAL.E,32.5
2017-09-19,KOZAL.E,29.58
2017-09-15,KOZAL.E,31.06
2017-09-12,KOZAL.E,32.06
2017-09-14,KOZAL.E,31.14
2017-09-07,KOZAL.E,34.4
2017-09-21,KRDMD.E,2.28
2017-09-25,KRDMD.E,2.14
2017-09-22,KRDMD.E,2.24
2017-09-28,KRDMD.E,2.25
2017-09-12,KRDMD.E,2.62
2017-09-26,KRDMD.E,2.31
2017-09-06,KRDMD.E,2.47
2017-09-14,KRDMD.E,2.49
2017-09-11,KRDMD.E,2.62
2017-09-20,KRDMD.E,2.32
2017-09-08,KRDMD.E,2.49
2017-09-05,KRDMD.E,2.35
2017-09-19,KRDMD.E,2.25
2017-09-27,KRDMD.E,2.22
2017-09-29,KRDMD.E,2.27
2017-09-13,KRDMD.E,2.49
2017-09-07,KRDMD.E,2.51
2017-09-15,KRDMD.E,2.5
2017-09-18,KRDMD.E,2.31
2017-09-08,PGSUS.E,28.92
2017-09-27,PGSUS.E,24.8
2017-09-22,PGSUS.E,26.22
2017-09-14,PGSUS.E,27.6
2017-09-13,PGSUS.E,29.24
2017-09-15,PGSUS.E,28.02
2017-09-06,PGSUS.E,28.24
2017-09-25,PGSUS.E,24.58
2017-09-28,PGSUS.E,25.28
2017-09-21,PGSUS.E,26.1
2017-09-19,PGSUS.E,26.06
2017-09-29,PGSUS.E,24.92
2017-09-07,PGSUS.E,28.6
2017-09-12,PGSUS.E,30.3
2017-09-11,PGSUS.E,30.48
2017-09-20,PGSUS.E,26.68
2017-09-26,PGSUS.E,25.72
2017-09-18,PGSUS.E,26.26
2017-09-05,PGSUS.E,27.74
2017-09-19,SAHOL.E,10.36
2017-09-25,SAHOL.E,10.15
2017-09-27,SAHOL.E,10.08
2017-09-15,SAHOL.E,10.76
2017-09-28,SAHOL.E,10.09
2017-09-26,SAHOL.E,10.24
2017-09-08,SAHOL.E,10.32
2017-09-06,SAHOL.E,10.46
2017-09-14,SAHOL.E,10.9
2017-09-20,SAHOL.E,10.39
2017-09-21,SAHOL.E,10.38
2017-09-22,SAHOL.E,10.44
2017-09-13,SAHOL.E,10.68
2017-09-29,SAHOL.E,10.02
2017-09-07,SAHOL.E,10.38
2017-09-11,SAHOL.E,10.51
2017-09-18,SAHOL.E,10.79
2017-09-12,SAHOL.E,10.51
2017-09-05,SAHOL.E,10.5
2017-09-14,SISE.E,4.18
2017-09-13,SISE.E,4.2
2017-09-29,SISE.E,4.1
2017-09-27,SISE.E,4.02
2017-09-20,SISE.E,4.17
2017-09-05,SISE.E,4.29
2017-09-08,SISE.E,4.24
2017-09-28,SISE.E,4.08
2017-09-07,SISE.E,4.29
2017-09-15,SISE.E,4.19
2017-09-25,SISE.E,4.07
2017-09-26,SISE.E,4.1
2017-09-22,SISE.E,4.13
2017-09-19,SISE.E,4.15
2017-09-18,SISE.E,4.13
2017-09-12,SISE.E,4.22
2017-09-11,SISE.E,4.26
2017-09-06,SISE.E,4.27
2017-09-21,SISE.E,4.17
2017-09-07,TAVHL.E,20.98
2017-09-21,TAVHL.E,18.31
2017-09-12,TAVHL.E,19.95
2017-09-27,TAVHL.E,18.16
2017-09-11,TAVHL.E,20.92
2017-09-19,TAVHL.E,18.16
2017-09-29,TAVHL.E,17.65
2017-09-25,TAVHL.E,18.12
2017-09-08,TAVHL.E,20.72
2017-09-15,TAVHL.E,19.04
2017-09-20,TAVHL.E,18.49
2017-09-26,TAVHL.E,18.78
2017-09-13,TAVHL.E,19.74
2017-09-18,TAVHL.E,18.28
2017-09-28,TAVHL.E,17.76
2017-09-05,TAVHL.E,21.08
2017-09-14,TAVHL.E,19.35
2017-09-06,TAVHL.E,20.86
2017-09-22,TAVHL.E,18.28
2017-09-12,TCELL.E,13.38
2017-09-13,TCELL.E,13.05
2017-09-22,TCELL.E,12.08
2017-09-08,TCELL.E,12.95
2017-09-26,TCELL.E,12.08
2017-09-11,TCELL.E,13.19
2017-09-14,TCELL.E,12.9
2017-09-05,TCELL.E,13.1
2017-09-25,TCELL.E,12.11
2017-09-18,TCELL.E,12.11
2017-09-28,TCELL.E,12.48
2017-09-07,TCELL.E,12.98
2017-09-15,TCELL.E,12.29
2017-09-21,TCELL.E,12.08
2017-09-29,TCELL.E,12.69
2017-09-19,TCELL.E,12.19
2017-09-06,TCELL.E,13.08
2017-09-27,TCELL.E,12.1
2017-09-20,TCELL.E,12.24
2017-09-14,THYAO.E,9.92
2017-09-22,THYAO.E,9.38
2017-09-18,THYAO.E,9.27
2017-09-21,THYAO.E,9.24
2017-09-28,THYAO.E,8.91
2017-09-29,THYAO.E,8.75
2017-09-27,THYAO.E,8.6
2017-09-13,THYAO.E,10.03
2017-09-12,THYAO.E,10.47
2017-09-25,THYAO.E,8.77
2017-09-11,THYAO.E,10.23
2017-09-20,THYAO.E,9.32
2017-09-08,THYAO.E,9.89
2017-09-05,THYAO.E,9.71
2017-09-06,THYAO.E,9.83
2017-09-19,THYAO.E,9.21
2017-09-07,THYAO.E,10.04
2017-09-15,THYAO.E,9.81
2017-09-26,THYAO.E,9.0
2017-09-11,TKFEN.E,12.13
2017-09-19,TKFEN.E,11.46
2017-09-12,TKFEN.E,11.77
2017-09-25,TKFEN.E,10.97
2017-09-15,TKFEN.E,11.85
2017-09-21,TKFEN.E,11.44
2017-09-22,TKFEN.E,11.15
2017-09-26,TKFEN.E,10.97
2017-09-14,TKFEN.E,11.62
2017-09-29,TKFEN.E,11.71
2017-09-05,TKFEN.E,12.17
2017-09-08,TKFEN.E,11.89
2017-09-13,TKFEN.E,11.62
2017-09-20,TKFEN.E,11.83
2017-09-18,TKFEN.E,11.61
2017-09-06,TKFEN.E,12.23
2017-09-28,TKFEN.E,11.74
2017-09-07,TKFEN.E,12.24
2017-09-27,TKFEN.E,11.42
2017-09-20,TTKOM.E,6.61
2017-09-11,TTKOM.E,7.03
2017-09-13,TTKOM.E,6.92
2017-09-18,TTKOM.E,6.64
2017-09-15,TTKOM.E,6.56
2017-09-26,TTKOM.E,6.49
2017-09-05,TTKOM.E,7.11
2017-09-28,TTKOM.E,6.66
2017-09-22,TTKOM.E,6.57
2017-09-21,TTKOM.E,6.62
2017-09-29,TTKOM.E,6.79
2017-09-19,TTKOM.E,6.58
2017-09-25,TTKOM.E,6.41
2017-09-27,TTKOM.E,6.42
2017-09-14,TTKOM.E,6.78
2017-09-06,TTKOM.E,7.15
2017-09-08,TTKOM.E,6.98
2017-09-12,TTKOM.E,6.98
2017-09-07,TTKOM.E,7.15
2017-09-13,TUPRS.E,122.0
2017-09-18,TUPRS.E,122.2
2017-09-27,TUPRS.E,118.8
2017-09-14,TUPRS.E,122.5
2017-09-12,TUPRS.E,123.0
2017-09-28,TUPRS.E,119.0
2017-09-26,TUPRS.E,121.5
2017-09-08,TUPRS.E,124.9
2017-09-19,TUPRS.E,121.6
2017-09-15,TUPRS.E,122.2
2017-09-25,TUPRS.E,119.6
2017-09-11,TUPRS.E,124.5
2017-09-07,TUPRS.E,123.9
2017-09-05,TUPRS.E,116.9
2017-09-06,TUPRS.E,123.5
2017-09-22,TUPRS.E,118.0
2017-09-29,TUPRS.E,121.6
2017-09-20,TUPRS.E,119.7
2017-09-21,TUPRS.E,118.7
2017-09-22,VAKBN.E,6.53
2017-09-07,VAKBN.E,6.84
2017-09-27,VAKBN.E,6.19
2017-09-20,VAKBN.E,6.64
2017-09-21,VAKBN.E,6.56
2017-09-18,VAKBN.E,6.7
2017-09-06,VAKBN.E,6.93
2017-09-05,VAKBN.E,6.96
2017-09-26,VAKBN.E,6.5
2017-09-08,VAKBN.E,6.72
2017-09-15,VAKBN.E,6.71
2017-09-13,VAKBN.E,6.69
2017-09-14,VAKBN.E,6.76
2017-09-29,VAKBN.E,6.27
2017-09-11,VAKBN.E,6.84
2017-09-19,VAKBN.E,6.65
2017-09-25,VAKBN.E,6.44
2017-09-28,VAKBN.E,6.36
2017-09-12,VAKBN.E,6.79
2017-09-28,YKBNK.E,4.33
2017-09-25,YKBNK.E,4.23
2017-09-13,YKBNK.E,4.54
2017-09-18,YKBNK.E,4.43
2017-09-06,YKBNK.E,4.71
2017-09-21,YKBNK.E,4.34
2017-09-15,YKBNK.E,4.48
2017-09-19,YKBNK.E,4.37
2017-09-11,YKBNK.E,4.68
2017-09-07,YKBNK.E,4.68
2017-09-20,YKBNK.E,4.35
2017-09-29,YKBNK.E,4.32
2017-09-14,YKBNK.E,4.52
2017-09-26,YKBNK.E,4.36
2017-09-08,YKBNK.E,4.56
2017-09-05,YKBNK.E,4.65
2017-09-27,YKBNK.E,4.15
2017-09-22,YKBNK.E,4.35
2017-09-12,YKBNK.E,4.63
