TARIH,ISLEM  KODU,KAPANIS FIYATI
2017-08-14,AKBNK.E,10.47
2017-08-02,AKBNK.E,10.39
2017-08-29,AKBNK.E,10.46
2017-08-08,AKBNK.E,10.61
2017-08-11,AKBNK.E,10.17
2017-08-16,AKBNK.E,10.22
2017-08-28,AKBNK.E,10.5
2017-08-15,AKBNK.E,10.22
2017-08-09,AKBNK.E,10.42
2017-08-10,AKBNK.E,10.33
2017-08-31,AKBNK.E,10.34
2017-08-23,AKBNK.E,10.25
2017-08-21,AKBNK.E,10.2
2017-08-03,AKBNK.E,10.37
2017-08-25,AKBNK.E,10.45
2017-08-01,AKBNK.E,10.32
2017-08-18,AKBNK.E,10.11
2017-08-07,AKBNK.E,10.63
2017-08-22,AKBNK.E,10.2
2017-08-24,AKBNK.E,10.34
2017-08-04,AKBNK.E,10.56
2017-08-17,AKBNK.E,10.15
2017-08-16,ARCLK.E,24.6
2017-08-03,ARCLK.E,25.34
2017-08-18,ARCLK.E,24.32
2017-08-10,ARCLK.E,24.36
2017-08-28,ARCLK.E,24.62
2017-08-25,ARCLK.E,24.5
2017-08-23,ARCLK.E,24.04
2017-08-22,ARCLK.E,23.88
2017-08-02,ARCLK.E,25.56
2017-08-24,ARCLK.E,24.3
2017-08-08,ARCLK.E,25.42
2017-08-15,ARCLK.E,24.38
2017-08-04,ARCLK.E,25.3
2017-08-17,ARCLK.E,24.56
2017-08-09,ARCLK.E,24.86
2017-08-01,ARCLK.E,25.28
2017-08-11,ARCLK.E,24.44
2017-08-31,ARCLK.E,24
2017-08-07,ARCLK.E,25.54
2017-08-14,ARCLK.E,25.04
2017-08-21,ARCLK.E,24
2017-08-29,ARCLK.E,24.52
2017-08-15,ASELS.E,26.94
2017-08-07,ASELS.E,25.8
2017-08-28,ASELS.E,26.5
2017-08-18,ASELS.E,26.5
2017-08-21,ASELS.E,26.54
2017-08-01,ASELS.E,23.98
2017-08-09,ASELS.E,26.18
2017-08-04,ASELS.E,24.48
2017-08-31,ASELS.E,27
2017-08-17,ASELS.E,26.36
2017-08-03,ASELS.E,24.1
2017-08-25,ASELS.E,26.6
2017-08-11,ASELS.E,26.38
2017-08-22,ASELS.E,26.2
2017-08-08,ASELS.E,25.92
2017-08-02,ASELS.E,24.1
2017-08-29,ASELS.E,26.7
2017-08-14,ASELS.E,27.18
2017-08-23,ASELS.E,26.76
2017-08-16,ASELS.E,26.64
2017-08-10,ASELS.E,26.66
2017-08-24,ASELS.E,26.76
2017-08-03,BIMAS.E,68.8
2017-08-22,BIMAS.E,74.1
2017-08-29,BIMAS.E,76.45
2017-08-04,BIMAS.E,69.9
2017-08-25,BIMAS.E,75.8
2017-08-15,BIMAS.E,70.7
2017-08-31,BIMAS.E,76.5
2017-08-28,BIMAS.E,75.85
2017-08-21,BIMAS.E,74.05
2017-08-23,BIMAS.E,75
2017-08-07,BIMAS.E,70.45
2017-08-18,BIMAS.E,74.1
2017-08-01,BIMAS.E,69.3
2017-08-14,BIMAS.E,67.75
2017-08-08,BIMAS.E,68.65
2017-08-17,BIMAS.E,70.5
2017-08-02,BIMAS.E,69.8
2017-08-10,BIMAS.E,68.3
2017-08-09,BIMAS.E,68.5
2017-08-11,BIMAS.E,67.9
2017-08-24,BIMAS.E,74.05
2017-08-16,BIMAS.E,70.15
2017-08-18,EREGL.E,7.81
2017-08-11,EREGL.E,7.77
