TARIH,ISLEM  KODU,KAPANIS FIYATI
2017-08-24,EREGL.E,8.04
2017-08-16,EREGL.E,7.84
2017-08-21,EREGL.E,8.08
2017-08-10,EREGL.E,7.8
2017-08-01,EREGL.E,7.81
2017-08-03,EREGL.E,8.06
2017-08-07,EREGL.E,8.24
2017-08-04,EREGL.E,8.19
2017-08-17,EREGL.E,7.76
2017-08-15,EREGL.E,7.65
2017-08-08,EREGL.E,8.14
2017-08-09,EREGL.E,8.03
2017-08-28,EREGL.E,8.1
2017-08-14,EREGL.E,8
2017-08-25,EREGL.E,8.02
2017-08-23,EREGL.E,8.18
2017-08-29,EREGL.E,8.12
2017-08-02,EREGL.E,7.85
2017-08-31,EREGL.E,8.22
2017-08-22,EREGL.E,8.17
2017-08-11,FROTO.E,47.44
2017-08-03,FROTO.E,45.5
2017-08-28,FROTO.E,47.42
2017-08-14,FROTO.E,47.94
2017-08-21,FROTO.E,49.32
2017-08-09,FROTO.E,46.9
2017-08-18,FROTO.E,48.18
2017-08-23,FROTO.E,48.4
2017-08-07,FROTO.E,46.1
2017-08-10,FROTO.E,46.02
2017-08-17,FROTO.E,47.2
2017-08-15,FROTO.E,46.4
2017-08-01,FROTO.E,45.86
2017-08-31,FROTO.E,47.54
2017-08-08,FROTO.E,47.8
2017-08-24,FROTO.E,48.18
2017-08-29,FROTO.E,47.86
2017-08-04,FROTO.E,45.08
2017-08-16,FROTO.E,46.74
2017-08-22,FROTO.E,48.68
2017-08-25,FROTO.E,47.8
2017-08-02,FROTO.E,46.16
2017-08-15,GARAN.E,10.58
2017-08-16,GARAN.E,10.55
2017-08-24,GARAN.E,10.74
2017-08-03,GARAN.E,10.48
2017-08-11,GARAN.E,10.48
2017-08-29,GARAN.E,10.79
2017-08-01,GARAN.E,10.52
2017-08-22,GARAN.E,10.72
2017-08-07,GARAN.E,10.82
2017-08-17,GARAN.E,10.62
2017-08-08,GARAN.E,10.94
2017-08-10,GARAN.E,10.61
2017-08-18,GARAN.E,10.55
2017-08-09,GARAN.E,10.79
2017-08-23,GARAN.E,10.65
2017-08-31,GARAN.E,10.74
2017-08-21,GARAN.E,10.8
2017-08-04,GARAN.E,10.63
2017-08-02,GARAN.E,10.55
2017-08-25,GARAN.E,10.95
2017-08-14,GARAN.E,10.8
2017-08-28,GARAN.E,10.94
2017-08-04,KCHOL.E,17.17
2017-08-09,KCHOL.E,17.21
2017-08-17,KCHOL.E,17.02
2017-08-01,KCHOL.E,16.27
2017-08-10,KCHOL.E,17.11
2017-08-03,KCHOL.E,16.86
2017-08-25,KCHOL.E,17.57
2017-08-02,KCHOL.E,16.42
2017-08-23,KCHOL.E,17.73
2017-08-08,KCHOL.E,17.21
2017-08-15,KCHOL.E,17.08
2017-08-16,KCHOL.E,17
2017-08-29,KCHOL.E,18.14
2017-08-28,KCHOL.E,17.7
2017-08-21,KCHOL.E,17.52
2017-08-24,KCHOL.E,17.55
2017-08-14,KCHOL.E,17.35
2017-08-22,KCHOL.E,17.76
2017-08-11,KCHOL.E,16.8
2017-08-31,KCHOL.E,18.04
2017-08-07,KCHOL.E,17.27
2017-08-18,KCHOL.E,17.09
2017-08-28,KOZAA.E,6.98
2017-08-23,KOZAA.E,7.01
2017-08-18,KOZAA.E,5.58
2017-08-01,KOZAA.E,4.81
2017-08-15,KOZAA.E,5.97
2017-08-09,KOZAA.E,6.57
2017-08-02,KOZAA.E,5.48
2017-08-08,KOZAA.E,6.3
2017-08-25,KOZAA.E,6.92
2017-08-10,KOZAA.E,6.74
2017-08-22,KOZAA.E,6.7
2017-08-03,KOZAA.E,5.43
2017-08-07,KOZAA.E,6.28
2017-08-21,KOZAA.E,5.66
2017-08-11,KOZAA.E,6.83
2017-08-14,KOZAA.E,7.46
2017-08-16,KOZAA.E,6.19
2017-08-24,KOZAA.E,6.84
2017-08-29,KOZAA.E,7.03
2017-08-31,KOZAA.E,6.93
2017-08-04,KOZAA.E,5.78
2017-08-17,KOZAA.E,5.72
2017-08-03,KOZAL.E,33.3
2017-08-09,KOZAL.E,35.12
2017-08-10,KOZAL.E,35.36
2017-08-31,KOZAL.E,32.14
2017-08-16,KOZAL.E,31.5
2017-08-01,KOZAL.E,32.36
2017-08-28,KOZAL.E,31.4
2017-08-18,KOZAL.E,32.0
2017-08-29,KOZAL.E,32.54
2017-08-25,KOZAL.E,31.26
2017-08-02,KOZAL.E,33.28
2017-08-23,KOZAL.E,31.1
2017-08-22,KOZAL.E,32.14
2017-08-21,KOZAL.E,31.2
2017-08-11,KOZAL.E,35.62
2017-08-24,KOZAL.E,30.86
2017-08-17,KOZAL.E,30.5
2017-08-07,KOZAL.E,35.24
2017-08-15,KOZAL.E,30.12
2017-08-04,KOZAL.E,34.5
2017-08-08,KOZAL.E,34.62
2017-08-14,KOZAL.E,36.4
2017-08-07,KRDMD.E,2.06
2017-08-18,KRDMD.E,2.3
2017-08-02,KRDMD.E,1.96
2017-08-10,KRDMD.E,1.97
2017-08-14,KRDMD.E,2.15
2017-08-04,KRDMD.E,2.02
2017-08-24,KRDMD.E,2.28
2017-08-23,KRDMD.E,2.28
2017-08-01,KRDMD.E,1.92
2017-08-11,KRDMD.E,2.0
2017-08-28,KRDMD.E,2.36
2017-08-08,KRDMD.E,2.0
2017-08-21,KRDMD.E,2.31
2017-08-25,KRDMD.E,2.29
2017-08-17,KRDMD.E,2.26
2017-08-03,KRDMD.E,1.94
2017-08-09,KRDMD.E,1.96
2017-08-15,KRDMD.E,2.14
2017-08-31,KRDMD.E,2.38
2017-08-29,KRDMD.E,2.38
2017-08-16,KRDMD.E,2.17
2017-08-22,KRDMD.E,2.3
2017-08-22,PGSUS.E,27.28
2017-08-10,PGSUS.E,24.68
2017-08-08,PGSUS.E,24.76
2017-08-28,PGSUS.E,28.44
2017-08-24,PGSUS.E,27.68
2017-08-04,PGSUS.E,24.32
2017-08-16,PGSUS.E,25.72
2017-08-14,PGSUS.E,25.96
2017-08-29,PGSUS.E,28.5
2017-08-11,PGSUS.E,24.5
2017-08-17,PGSUS.E,26.46
2017-08-02,PGSUS.E,24.0
2017-08-07,PGSUS.E,25.04
2017-08-21,PGSUS.E,26.82
2017-08-31,PGSUS.E,28.04
2017-08-15,PGSUS.E,25.2
2017-08-03,PGSUS.E,24.4
2017-08-18,PGSUS.E,26.24
2017-08-25,PGSUS.E,28.24
2017-08-09,PGSUS.E,24.6
2017-08-01,PGSUS.E,23.48
2017-08-23,PGSUS.E,27.86
2017-08-10,SAHOL.E,10.59
2017-08-22,SAHOL.E,10.37
2017-08-29,SAHOL.E,10.63
2017-08-21,SAHOL.E,10.44
2017-08-25,SAHOL.E,10.52
2017-08-28,SAHOL.E,10.66
2017-08-18,SAHOL.E,10.28
2017-08-04,SAHOL.E,10.81
2017-08-15,SAHOL.E,10.42
2017-08-03,SAHOL.E,10.66
2017-08-02,SAHOL.E,10.66
2017-08-08,SAHOL.E,10.8
2017-08-01,SAHOL.E,10.7
2017-08-09,SAHOL.E,10.68
2017-08-11,SAHOL.E,10.4
2017-08-14,SAHOL.E,10.74
2017-08-07,SAHOL.E,10.84
2017-08-16,SAHOL.E,10.41
2017-08-23,SAHOL.E,10.46
2017-08-31,SAHOL.E,10.6
2017-08-17,SAHOL.E,10.31
2017-08-24,SAHOL.E,10.52
2017-08-11,SISE.E,4.31
2017-08-16,SISE.E,4.21
2017-08-14,SISE.E,4.36
2017-08-24,SISE.E,4.37
2017-08-17,SISE.E,4.19
2017-08-31,SISE.E,4.44
2017-08-25,SISE.E,4.38
2017-08-28,SISE.E,4.44
2017-08-08,SISE.E,4.51
2017-08-02,SISE.E,4.45
2017-08-15,SISE.E,4.26
2017-08-01,SISE.E,4.41
2017-08-04,SISE.E,4.54
2017-08-03,SISE.E,4.44
2017-08-23,SISE.E,4.41
2017-08-22,SISE.E,4.36
2017-08-29,SISE.E,4.43
2017-08-21,SISE.E,4.41
2017-08-09,SISE.E,4.47
2017-08-10,SISE.E,4.39
2017-08-18,SISE.E,4.33
2017-08-07,SISE.E,4.55
2017-08-10,TAVHL.E,21.16
2017-08-09,TAVHL.E,21.4
2017-08-04,TAVHL.E,20.9
2017-08-21,TAVHL.E,20.94
2017-08-15,TAVHL.E,21.1
2017-08-24,TAVHL.E,21.06
2017-08-02,TAVHL.E,20.58
2017-08-29,TAVHL.E,21.18
2017-08-01,TAVHL.E,20.72
2017-08-07,TAVHL.E,21.76
2017-08-16,TAVHL.E,20.9
2017-08-11,TAVHL.E,20.74
2017-08-18,TAVHL.E,20.48
2017-08-23,TAVHL.E,20.76
2017-08-28,TAVHL.E,21.38
2017-08-22,TAVHL.E,20.74
2017-08-31,TAVHL.E,21.22
2017-08-17,TAVHL.E,20.38
2017-08-03,TAVHL.E,20.76
2017-08-14,TAVHL.E,21.52
2017-08-25,TAVHL.E,21.2
2017-08-08,TAVHL.E,21.58
2017-08-04,TCELL.E,12.62
2017-08-31,TCELL.E,13.21
2017-08-22,TCELL.E,13.0
2017-08-21,TCELL.E,12.86
2017-08-23,TCELL.E,13.29
2017-08-01,TCELL.E,12.48
2017-08-18,TCELL.E,12.67
2017-08-16,TCELL.E,12.81
2017-08-09,TCELL.E,12.68
2017-08-03,TCELL.E,12.61
2017-08-29,TCELL.E,13.3
2017-08-14,TCELL.E,12.93
2017-08-25,TCELL.E,13.06
2017-08-17,TCELL.E,12.79
2017-08-28,TCELL.E,13.24
2017-08-02,TCELL.E,12.39
2017-08-15,TCELL.E,12.73
2017-08-08,TCELL.E,12.7
2017-08-24,TCELL.E,13.19
2017-08-10,TCELL.E,12.72
2017-08-11,TCELL.E,12.76
2017-08-07,TCELL.E,12.64
2017-08-17,THYAO.E,9.3
2017-08-15,THYAO.E,9.28
2017-08-07,THYAO.E,9.07
2017-08-11,THYAO.E,9.0
2017-08-29,THYAO.E,9.77
2017-08-03,THYAO.E,8.67
2017-08-14,THYAO.E,9.5
2017-08-25,THYAO.E,9.66
2017-08-31,THYAO.E,9.76
2017-08-18,THYAO.E,9.26
2017-08-16,THYAO.E,9.3
2017-08-08,THYAO.E,9.05
2017-08-10,THYAO.E,8.84
2017-08-28,THYAO.E,9.88
2017-08-21,THYAO.E,9.39
2017-08-22,THYAO.E,9.56
2017-08-01,THYAO.E,8.64
2017-08-09,THYAO.E,8.92
2017-08-23,THYAO.E,9.46
2017-08-02,THYAO.E,8.66
2017-08-04,THYAO.E,8.87
2017-08-24,THYAO.E,9.52
2017-08-03,TKFEN.E,11.63
2017-08-29,TKFEN.E,12.77
2017-08-15,TKFEN.E,12.05
2017-08-24,TKFEN.E,12.57
2017-08-02,TKFEN.E,11.32
2017-08-01,TKFEN.E,10.98
2017-08-07,TKFEN.E,11.88
2017-08-28,TKFEN.E,12.41
2017-08-11,TKFEN.E,12.2
2017-08-16,TKFEN.E,11.97
2017-08-23,TKFEN.E,12.67
2017-08-10,TKFEN.E,12.0
2017-08-31,TKFEN.E,12.81
2017-08-09,TKFEN.E,11.95
2017-08-08,TKFEN.E,12.02
2017-08-22,TKFEN.E,12.46
2017-08-21,TKFEN.E,12.42
2017-08-04,TKFEN.E,11.97
2017-08-14,TKFEN.E,12.28
2017-08-18,TKFEN.E,12.42
2017-08-17,TKFEN.E,12.37
2017-08-25,TKFEN.E,12.62
2017-08-17,TTKOM.E,7.08
2017-08-29,TTKOM.E,7.32
2017-08-10,TTKOM.E,7.18
2017-08-16,TTKOM.E,7.03
2017-08-07,TTKOM.E,7.06
2017-08-11,TTKOM.E,7.06
2017-08-01,TTKOM.E,7.11
2017-08-04,TTKOM.E,7.03
2017-08-25,TTKOM.E,7.03
2017-08-21,TTKOM.E,7.07
2017-08-15,TTKOM.E,7.05
2017-08-03,TTKOM.E,7.03
2017-08-09,TTKOM.E,7.14
2017-08-31,TTKOM.E,7.18
2017-08-18,TTKOM.E,7.02
2017-08-08,TTKOM.E,7.07
2017-08-14,TTKOM.E,7.12
2017-08-02,TTKOM.E,7.12
2017-08-22,TTKOM.E,7.08
2017-08-24,TTKOM.E,7.09
2017-08-28,TTKOM.E,7.3
2017-08-23,TTKOM.E,7.04
2017-08-17,TUPRS.E,113.9
2017-08-31,TUPRS.E,117.3
2017-08-23,TUPRS.E,115.6
2017-08-01,TUPRS.E,107.0
2017-08-09,TUPRS.E,117.3
2017-08-16,TUPRS.E,113.0
2017-08-25,TUPRS.E,116.5
2017-08-11,TUPRS.E,115.0
2017-08-04,TUPRS.E,114.1
2017-08-29,TUPRS.E,117.7
2017-08-15,TUPRS.E,115.3
2017-08-10,TUPRS.E,117.0
2017-08-14,TUPRS.E,116.9
2017-08-03,TUPRS.E,114.0
2017-08-07,TUPRS.E,114.0
2017-08-21,TUPRS.E,115.3
2017-08-22,TUPRS.E,115.2
2017-08-02,TUPRS.E,108.0
2017-08-28,TUPRS.E,117.0
2017-08-24,TUPRS.E,115.8
2017-08-08,TUPRS.E,117.0
2017-08-18,TUPRS.E,115.0
2017-08-07,VAKBN.E,7.16
2017-08-28,VAKBN.E,7.29
2017-08-10,VAKBN.E,6.95
2017-08-03,VAKBN.E,6.93
2017-08-17,VAKBN.E,7.01
2017-08-16,VAKBN.E,7.12
2017-08-15,VAKBN.E,7.07
2017-08-14,VAKBN.E,7.18
2017-08-24,VAKBN.E,7.19
2017-08-08,VAKBN.E,7.13
2017-08-02,VAKBN.E,6.93
2017-08-22,VAKBN.E,7.07
2017-08-23,VAKBN.E,7.12
2017-08-29,VAKBN.E,7.25
2017-08-04,VAKBN.E,7.08
2017-08-31,VAKBN.E,7.2
2017-08-18,VAKBN.E,6.99
2017-08-01,VAKBN.E,6.96
2017-08-25,VAKBN.E,7.15
2017-08-09,VAKBN.E,7.06
2017-08-21,VAKBN.E,7.12
2017-08-11,VAKBN.E,6.85
2017-08-16,YKBNK.E,4.35
2017-08-28,YKBNK.E,4.93
2017-08-14,YKBNK.E,4.46
2017-08-17,YKBNK.E,4.32
2017-08-21,YKBNK.E,4.41
2017-08-11,YKBNK.E,4.37
2017-08-03,YKBNK.E,4.49
2017-08-01,YKBNK.E,4.46
2017-08-22,YKBNK.E,4.39
2017-08-08,YKBNK.E,4.57
2017-08-02,YKBNK.E,4.45
2017-08-23,YKBNK.E,4.45
2017-08-25,YKBNK.E,4.71
2017-08-10,YKBNK.E,4.47
2017-08-09,YKBNK.E,4.5
2017-08-18,YKBNK.E,4.3
2017-08-24,YKBNK.E,4.58
2017-08-04,YKBNK.E,4.55
2017-08-07,YKBNK.E,4.59
2017-08-31,YKBNK.E,4.86
2017-08-15,YKBNK.E,4.37
2017-08-29,YKBNK.E,4.9
